No.;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14
15;0.38882680169368905;0.2829543950591842;0.3117752771748481;0.2857566830131993;0.2101780414615422;0.36938027638125276;0.3581358760708578;0.3581358760708578;0.43179678455131304;0.48512053532126925;0.48512053532126925;0.48512053532126925;0.48512053532126925
16;0.22860186177684358;0.3680510198513582;0.3680510198513582;0.3061094047843981;0.3061094047843981;0.34518157756508866;0.32119893618652506;0.013980836369394881;0.20500143367326504;0.2236516411682423;0.2236516411682423;0.2236516411682423;0.2236516411682423
19;0.21087985566355305;0.18146024302993016;0.0686393663713069;0.15917189770140056;0.15471231555323306;0.0725740439242095;0.11207884359048938;0.0714959324343205;0.061030209087212385;0.05475110667684626;0.349328786834983;0.349328786834983;0.349328786834983
36;0.4246814223670217;0.33270521171889983;0.3180939243410997;0.2637677660990641;0.21033625219596902;0.389022481039871;0.3912762687100766;0.3912762687100766;0.47130663612165685;0.5127084583161524;0.5127084583161524;0.5127084583161524;0.5127084583161524
37;0.3609456268249909;0.2523020841244832;0.2770452835069578;0.23881368955339072;0.18163140636918804;0.29848673976578527;0.30564326506509204;0.30564326506509204;0.3541975360595186;0.38715721194266783;0.38715721194266783;0.38715721194266783;0.38715721194266783
38;0.41525932354513834;0.3168727673274011;0.32045818263794446;0.2774249541014401;0.21438769962098309;0.3968608036253407;0.38883890789834125;0.38883890789834125;0.47231134869881997;0.5303109811841881;0.5303109811841881;0.5303109811841881;0.5303109811841881
39;0.40727465951152036;0.3008867588037165;0.33438598433086947;0.2843406402099427;0.19000275368835032;0.32379974254639293;0.341187567656646;0.341187567656646;0.35873114830892416;0.39033444178164545;0.39033444178164545;0.39033444178164545;0.39033444178164545
40;0.27313024748079523;0.15614799241469415;0.025893374919337086;0.0897998973731669;0.01790329498519771;0.07870644328914615;-0.0696072890959839;-0.06593415375581972;-0.03884836402102474;0.07399347698140343;0.07399347698140343;0.07399347698140343;0.07399347698140343
41;-0.004651548339991341;0.17721247944522056;0.17641723677930132;0.1031613624945782;0.1031613624945782;0.08734432179056383;0.1127969801667469;0.10597446761236308;-0.10148324251204785;0.07546256215391085;0.07546256215391085;0.07546256215391085;0.07546256215391085
42;0.058535646392173846;0.20696317913069842;0.1979400066388331;0.1781833671772051;0.13229357296082686;0.10251059987151884;0.12195557195345175;0.21016050142487375;0.13767662405663725;0.2634172009438185;0.2634172009438185;0.2634172009438185;0.2634172009438185
43;0.2147753435618524;-0.030977307673951637;0.09354142628720297;0.06142264929473263;0.23145575298566762;0.2301465996907663;0.24182426571931395;0.24182426571931395;-0.12535168880606448;0.09909442521691514;0.09909442521691514;0.09909442521691514;0.09909442521691514
44;0.2712656095593738;0.07144159223732377;0.15896425215626286;0.14819243044601824;0.1566616956077013;-0.0523210132895163;-0.15382613184645552;-0.15382613184645552;0.04657733424643129;-0.07632192364612497;-0.06577250226001667;0.007680902412790474;0.007680902412790474
