k;Inertia;Distortion;Silhouette
2;138.94887310232366;1.4235068152036203;0.27009991442714654
3;119.09674965847627;1.3058312729990305;0.25799463405895534
4;100.12071267690361;1.1958925086357033;0.21286261871537918
5;90.89008518068931;1.1323432146532877;0.22379619388490335
6;81.87082198370418;1.0726312706166066;0.20780041142299355
7;75.44675021234058;1.0218603313926808;0.2128991172375468
8;72.23536670124108;1.0042986078213834;0.20275727463283721
9;69.22093296581836;0.9826488897219283;0.1911145736614213
10;65.23991865927462;0.9373015919101146;0.1925300267947271
11;63.043303914681175;0.9295478975530673;0.19584298001438025
12;58.26824568763901;0.8969127190583083;0.21156587496011742
13;55.6890761172383;0.8713837371608286;0.21047828656639392
14;52.235956798337135;0.8439256047770973;0.21147852503279
