No.,PC1,PC2,PC3,PC4
15,-0.9867878036029772,0.41405593132340185,0.01761513492169724,-0.6326392203029808
16,1.1987169363525245,1.162346505522786,0.901050784777754,-0.055612372592130276
19,-0.14616856930834368,-0.3188774112160643,0.8776417988008166,-0.22754437896430893
36,-1.13555511489495,0.2752013690444843,0.18193073420399028,-0.5160778006529015
37,-0.9047392250728666,0.4478202011528905,0.106396436276843,-0.3012051154957012
38,-1.040206488729338,0.31654995989321455,0.12716866688354198,-0.5803312480176158
39,-1.2753532463421262,0.4427755822301981,0.07100314286998455,-0.6379372225374562
40,-0.363450928266957,0.18189529648157174,0.8179596963896396,-0.6576534215695828
41,0.4025541592084134,0.7443533353456385,0.6978372984985102,-0.6105277541797153
42,0.657120973598318,1.0318648582641343,0.3209370789532464,-0.0023727998393235396
43,-0.33052967782212417,0.9770020684452757,0.011642210774012375,-0.5071535979712793
44,-0.3120847410411355,0.6038444536754396,0.04384809414731271,0.154296629805274
45,0.7277434045016671,1.5939000106161292,0.05652752074709888,0.20928987695710521
46,0.6495104795732078,1.2359998732819057,0.2684304361938661,0.113136719215253
47,0.10937983060788553,0.23444198794845472,0.5786048505673471,0.21065796100038914
49,-1.0713558097082743,0.4150320898932102,0.055452056122693716,-0.6148768298096943
50,-0.941889448342533,0.6379705983183475,-0.2394642672560366,-0.3658964764547882
52,-0.81509345496586,0.3136442210719943,-0.2953004256283667,0.11454271929927409
54,-0.3822552643427032,0.9502248288808012,-0.2682528887275436,-0.606757040355414
55,1.1486789692207646,1.6171572714917568,0.2945059045590465,-0.10167978324028713
60,0.2169212628449594,-0.7798484216181548,-0.4665739965381599,-0.2720700671739359
61,0.9633967307485855,0.648155655421063,-0.18533352093846958,-0.3028557387392389
73,-0.5230227388120682,-0.6050558081136849,-0.12876396852543617,0.016822196618073486
76,-0.8412102786834108,-0.2470358829163688,-0.31224534155294176,-0.19357578407349765
78,-1.0753606251057337,-0.29175111772673523,-0.12180482444157431,0.2716425336571143
81,-1.105697738596943,-0.4233106044424729,-0.7520452394709455,-0.2402137803377827
83,-1.038947022819592,-0.8422668534369737,-0.36366370583709756,0.45154592937527055
85,-0.7386785966391596,1.0544736616820622,-0.7839433726856566,0.8375608146667144
86,-0.5094372525613422,-0.8752490828887255,-0.3359255713782464,0.658988790164348
93,-1.1316653995742014,-0.08162938007599634,-0.3070772330104204,0.4929562146650844
96,-1.031104604816421,-0.5598018816532007,-0.2598709894976393,-0.07288033879120315
101,-1.104382183393675,-0.4723503183084618,0.2516933074144679,0.3223542321795064
102,-0.33154540688623885,-0.3253720623288173,0.6720409527947142,0.286153298708302
105,-0.8868269282511029,-0.4814218782680616,0.14167201503613208,0.3041238176593643
111,-1.3825316324482781,-0.2213103856356536,0.06539984166378998,-0.02609893556460863
112,-0.9692958517448903,-0.04563492117528299,-0.05532674161212121,0.056000134604165544
113,-0.48467251543879813,0.34168860412196184,-0.08763416501814011,0.0369650447399708
116,-0.10128116336541053,-0.238477076220066,-0.055497806880816264,0.7716486108617314
119,0.14262052461443261,0.96189014530016,-0.36180024178174996,0.5396439142332615
120,-0.2012262917073841,-0.07265975079082071,-0.433224744271133,0.07102673721051417
121,-0.2850235697919611,0.08159804594181397,-0.4257334038778786,0.10819007032506797
122,-0.1410400976964772,0.02335008410998435,-0.74856432778,0.055053890810301806
123,1.2177613698445624,0.5840855551168087,-0.43180381402893886,0.4944502746425616
142,0.7343641006194298,1.3087398397778858,0.07000954683861721,0.7098777386487757
143,-0.32084139132925754,0.5408374402230073,-0.024518580823025774,1.004085687134663
154,-0.04581911999050623,-0.7163163082868517,1.226164631427672,0.18921031490643567
155,-0.11385833258945531,-0.6876612347121747,1.1276562039688587,0.048024449924633145
156,0.49424179294653287,-0.22484637101505692,1.1530485290146786,0.5004624700795974
157,-0.11514096647880273,-0.6522324245270594,1.0622625167802902,0.133882091583135
158,-0.016106096264297546,-1.2758266447965458,1.1464175501886302,0.6940935695817412
160,0.1913204041240953,-1.1237118400000148,-0.17301584433140643,-0.2260060920035509
161,-0.05752244613057478,-0.885356450419222,-0.5301784056738966,-0.16728061371946218
162,1.860195321757788,-0.6618211445627792,-0.43319412864899465,-0.20901631613793545
163,-0.4056767858316444,-0.9611962293903015,-0.6027345363078904,-0.48216391948382814
166,1.9640571936902151,-0.598878103563013,-0.26624545139583766,-0.10146659488386851
167,0.09861856312737817,-0.7336208673802082,-0.011734355463754436,-0.3986081955796639
168,2.0033866211651166,-0.44273058675376964,-0.30917846353752054,-0.11406336802524027
169,0.1323423488112691,-0.5575042565681022,-0.17645593850228897,-0.32437295795958504
170,0.4335266664789669,-0.8791075523363271,0.14039172135227063,0.5280586592402224
171,0.7483462853924487,-0.3857507982229704,-0.25179417312911,-0.32670678111814877
172,2.3012556195347478,-0.27003525693635566,-0.20615791368605046,-0.1404714396655159
173,0.3124846192796797,-0.6642759122972453,-0.03479210719710597,-0.5865502208440867
174,2.130961889011089,-0.3045504018605784,-0.3129661231659154,-0.290454443135695
179,2.458707461239558,-0.2203468025085864,-0.12381691800735606,-0.06855403854795464
184,-0.6305490731278764,0.7726495904218855,-1.0020278860793088,0.5423573258299782
187,1.995720354222058,-0.785727042045563,-0.6066472454787489,0.034571969440152256
