,Variance,Cumulative Variance,Singular Value
PC1,0.336949773016457,0.336949773016457,7.894095548064584
PC2,0.17776626401872603,0.5147160370351831,5.733825440576523
PC3,0.08985454074124845,0.6045705777764315,4.076522174127426
PC4,0.059914859332491605,0.6644854371089232,3.3287951238567395
